record_id,project_name,owner,county,city,status,interested_party_type,seo_slug,slug_length,included,bucket,canonical_category,canonical_url,lastmod,description_chars,has_award,seo_flag,reason,needs_review
rec021Bfejnb7Q85r,Land Surveying Services - Demolition of Vacant OUSD Properties ,Oakland Unified School District,Alameda,Oakland,Closed,professional services,land-surveying-services-demolition-of-vacant-ousd-properties-oakland-unified-school-district,92,no,,,,2026-04-11T10:36:22-07:00,335,no,,closed_stale_no_results,no
rec02qsK477gwFAfW,UCSF Health Helen Diller Hospital – Window Treatment,University of California San Francisco,San Francisco,San Francisco,Closed,construction,ucsf-health-helen-diller-hospital-window-treatment-university-of-california-san-francisco,89,yes,results,construction,https://www.bidthebay.com/construction-project-details/ucsf-health-helen-diller-hospital-window-treatment-university-of-california-san-francisco/r/rec02qsK477gwFAfW,2026-08-21T10:23:37-07:00,360,no,,recently_closed,no
rec03HtKFOQdV19Jl,Old White Hill Grade Stabilization Project,County of Marin,Marin,Fairfax,Closed,construction,old-white-hill-grade-stabilization-project-county-of-marin,58,yes,results,construction,https://www.bidthebay.com/construction-project-details/old-white-hill-grade-stabilization-project-county-of-marin/r/rec03HtKFOQdV19Jl,2026-08-11T08:33:15-07:00,473,yes,,award_results,no
rec04vk2HQWCudCKt,Various Locations Pavement Renovation No. 89 and Sewer Replacement,San Francisco Public Works,San Francisco,San Francisco,Closed,construction,various-locations-pavement-renovation-no-89-and-sewer-replacement-san-francisco-department-of-public-works,106,yes,results,construction,https://www.bidthebay.com/construction-project-details/various-locations-pavement-renovation-no-89-and-sewer-replacement-san-francisco-department-of-public-works/r/rec04vk2HQWCudCKt,2026-09-07T11:37:33-07:00,202,no,,recently_closed,no
rec0Btg2tndu4TSU2,Gavilan Joint Community College District Architecture Services,Gavilan Joint Community College District,Santa Clara,Gilroy,Closed,professional services,gavilan-joint-community-college-district-architecture-services-gavilan-joint-community-college-district,103,no,,,,2026-04-23T03:33:19-07:00,449,no,,closed_stale_no_results,no
rec0ExvyAFeTL50DZ,Paving Improvement Project Phase 2 - Montclaire Elementary School,Cupertino Union School District,Santa Clara,Los Altos,Closed,construction,paving-improvement-project-phase-2-montclaire-elementary-school-cupertino-union-school-district,95,no,,,,2026-04-11T10:36:22-07:00,197,no,,closed_stale_no_results,no
rec0I9HyZXPxt259v,Farragut Elementary School Electrical Repair Project,City of Vallejo,Solano,Vallejo,Closed,construction,farragut-elementary-school-electrical-repair-project-city-of-vallejo,68,yes,results,construction,https://www.bidthebay.com/construction-project-details/farragut-elementary-school-electrical-repair-project-city-of-vallejo/r/rec0I9HyZXPxt259v,2026-06-04T00:13:52-07:00,550,no,,recently_closed,no
rec0LaJGJEgZqnwzU,Epoxy Flooring Maintenance and Repair Services,California Department of State Hospitals,Napa,Napa ,Closed,construction,epoxy-flooring-maintenance-and-repair-services-department-of-state-hospitals,76,yes,results,construction,https://www.bidthebay.com/construction-project-details/epoxy-flooring-maintenance-and-repair-services-department-of-state-hospitals/r/rec0LaJGJEgZqnwzU,2026-09-07T11:37:47-07:00,369,no,,recently_closed,no
rec0NgRpF9XjBsGBE,Locksmith and Door Replacement Services,California Department of Transportation (Caltrans),Alameda; Contra Costa; San Francisco; Santa Clara,"Alameda, Contra Costa, San Francisco, Santa Clara",Closed,construction,locksmith-and-door-replacement-services-cal-trans-district-4,60,no,,,,2026-09-07T15:49:52-07:00,293,no,,closed_stale_no_results,no
rec0Nxx8ym5mWpgW2,Corte Madera Intergenerational Center - Tenant Improvement Project ,Town of Corte Madera,Marin,Corte Madera,Closed,construction,corte-madera-intergenerational-center-tenant-improvement-project-town-of-corte-madera,85,yes,results,construction,https://www.bidthebay.com/construction-project-details/corte-madera-intergenerational-center-tenant-improvement-project-town-of-corte-madera/r/rec0Nxx8ym5mWpgW2,2026-05-14T08:35:13-07:00,519,yes,,award_results,no
rec0RIybIQcbALmDX,Flooring Services,Contra Costa County Housing Authority,Contra Costa,Various Cities,Closed,construction,flooring-services-housing-authority-of-the-county-of-contra-costa,65,yes,results,construction,https://www.bidthebay.com/construction-project-details/flooring-services-housing-authority-of-the-county-of-contra-costa/r/rec0RIybIQcbALmDX,2026-09-07T11:37:33-07:00,293,no,,recently_closed,no
rec0Re6o4N81HaFIB,PH MU Exterior Ramp Replacement,University of California San Francisco ,San Francisco,San Francisco,Closed,professional services,ph-mu-exterior-ramp-replacement-university-of-california-san-francisco,70,yes,results,professional services,https://www.bidthebay.com/professional-services-project-details/ph-mu-exterior-ramp-replacement-university-of-california-san-francisco/r/rec0Re6o4N81HaFIB,2026-07-09T00:02:34-07:00,197,no,,recently_closed,no
rec0T9l8xm26JGkmG,Maintenance Route 92,City of Hayward,Alameda,Hayward,Closed,construction,maintenance-route-92-city-of-hayward,36,yes,results,construction,https://www.bidthebay.com/construction-project-details/maintenance-route-92-city-of-hayward/r/rec0T9l8xm26JGkmG,2026-09-05T20:45:17-07:00,1268,yes,,award_results,no
rec0Ujd5wGN4ABV1y,Architectural Design Review Services,City of Cupertino ,Santa Clara,Cupertino,Closed,professional services,architectural-design-review-services-city-of-cupertino,54,yes,results,professional services,https://www.bidthebay.com/professional-services-project-details/architectural-design-review-services-city-of-cupertino/r/rec0Ujd5wGN4ABV1y,2026-07-20T01:40:27-07:00,1335,no,,recently_closed,no
rec0Z5n2ULBeA1Rxw,Derek Silva Renovation Early Bid Trades,City and County of San Francisco,San Francisco,San Francisco,Closed,construction,derek-silva-renovation-early-bid-trades-city-and-county-of-san-francisco,72,yes,results,construction,https://www.bidthebay.com/construction-project-details/derek-silva-renovation-early-bid-trades-city-and-county-of-san-francisco/r/rec0Z5n2ULBeA1Rxw,2026-08-11T06:53:22-07:00,136,no,,recently_closed,no
rec0bQ5c9uOduZ2FG,Stoneridge Court Sewer Repair,City of Oakland,Alameda,Oakland,Closed,construction,stoneridge-court-sewer-repair-city-of-oakland,45,no,,,,2026-03-31T11:44:58-07:00,691,no,,closed_stale_no_results,no
rec0f53hhuKP3lJQ0,On-Call Pavement Design Consulting Services,City of San Ramon,Contra Costa,San Ramon,Closed,professional services,on-call-pavement-design-consulting-services-city-of-san-ramon,61,no,,,,2026-03-31T11:24:46-07:00,188,no,,closed_stale_no_results,no
rec0g5jRJ0j0oDBFQ,HSIP Traffic Safety Improvement Project,City of Milpitas,Santa Clara,Milpitas ,Closed,professional services,hsip-traffic-safety-improvement-project-city-of-milpitas,56,yes,results,professional services,https://www.bidthebay.com/professional-services-project-details/hsip-traffic-safety-improvement-project-city-of-milpitas/r/rec0g5jRJ0j0oDBFQ,2026-05-08T17:04:14-07:00,250,no,,recently_closed,no
rec0gCLn7xibkRvxe,Cesar Chavez Language Academy (CCLA) Exterior Paint Project,Santa Rosa City Schools,Sonoma,Santa Rosa,Closed,construction,cesar-chavez-language-academy-ccla-exterior-paint-project-santa-rosa-city-schools,81,no,,,,2026-04-11T10:36:22-07:00,123,no,,closed_stale_no_results,no
rec0hS8KRKlRJX2DQ,Electric Substation Equipment Painting,City of Palo Alto,Santa Clara,Palo Alto,Closed,construction,electric-substation-equipment-painting-city-of-palo-alto,56,yes,results,construction,https://www.bidthebay.com/construction-project-details/electric-substation-equipment-painting-city-of-palo-alto/r/rec0hS8KRKlRJX2DQ,2026-08-21T10:50:05-07:00,1768,yes,,award_results,no
rec0k4faxOsiOUI5j,Stevenson Bridge Road Bridge Construction Management,Solano County,Solano,Various Cities,Closed,professional services,stevenson-bridge-road-bridge-construction-management-solano-county,66,yes,results,professional services,https://www.bidthebay.com/professional-services-project-details/stevenson-bridge-road-bridge-construction-management-solano-county/r/rec0k4faxOsiOUI5j,2026-06-26T08:33:06-07:00,744,no,,recently_closed,no
rec0k6EYwWGsaptcM,Project Delivery Partners for the Parking Access and Revenue Control System (PARCS) Replacement Project,San Francisco International Airport,San Mateo,San Francisco,Closed,construction; professional services,project-delivery-partners-for-the-parking-access-and-revenue-control-system-parcs-replacement-project-san-francisco-international-airport-sfo,141,no,,,,2026-09-07T10:43:39-07:00,326,no,,closed_stale_no_results,no
rec0n3jazXaxyAuFn,Sports Center and Quinlan Community Center Roof Replacement Project,City of Cupertino,Santa Clara,Cupertino ,Closed,construction,sports-center-and-quinlan-community-center-roof-replacement-project-city-of-cupertino,85,yes,results,construction,https://www.bidthebay.com/construction-project-details/sports-center-and-quinlan-community-center-roof-replacement-project-city-of-cupertino/r/rec0n3jazXaxyAuFn,2026-03-24T07:29:08-07:00,419,yes,,award_results,no
